brand,firstName,lastName,latitude,longitude,startPrice,pricePerKM
Aston Martin Lagonda Ltd,Pauline,Gunnar,45.21645414,19.84828118,4.427610056630678EUR,1.7036066928092553EUR
LEXUS,Raina,Lula,45.22345305,19.83082933,6.269772816844689EUR,1.0164590921625576EUR
Audi,Marc,Erin,45.2627761,19.86640199,1.8608874905715336EUR,1.0237952565130846EUR
Subaru,Lombardet,Casandra,45.25056829,19.82418787,10.512932624252946EUR,1.6563058877839092EUR
Dodge,Construccion,Petty,45.22706127,19.83624397,3.69863700318812EUR,1.0452853161733882EUR
MAZDA,Rafal,Monserrat,45.28215333,19.80098291,6.848472092200129EUR,1.0444604099295751EUR
Audi,Beata,Salome,45.29945493,19.844297,1.2473101141077794EUR,1.0417866558859206EUR
Aston Martin Lagonda Ltd,Knox,Lorrie,45.26465635,19.83798667,4.863201684677997EUR,1.536456046701279EUR
Bentley,Brandy,Eleanor,45.29953897,19.88064325,5.728713211147051EUR,1.6281722977710191EUR
RAM,Welch,Vaishali,45.22684624,19.83941427,3.1034505930423064EUR,1.3494145070278685EUR
Pagani Automobili S.p.A.,Jamison,Ash,45.27827034,19.85210506,8.12755415792042EUR,1.3374700364494403EUR
Bentley,Liliya,Yeliz,45.27850871,19.80648094,4.360324081230656EUR,1.7553152421709535EUR
Aston Martin Lagonda Ltd,Leonard,Emerald,45.25729722,19.85550789,10.14906639309747EUR,1.2124823508556823EUR
Mitsubishi Motors Corporation,Bechmann,Maikol,45.27907143,19.86237016,4.565442360558393EUR,1.324328579217307EUR
MASERATI,Magali,Vibeke,45.21619105,19.78837046,4.795675055141949EUR,1.6719496977709882EUR
Roush,Bernardino,Danel,45.26209175,19.83673373,5.239149409686604EUR,1.685522127629019EUR
Volvo,Zena,Kirstein,45.23831978,19.8103596,10.79799094974425EUR,1.7020772550670218EUR
Jaguar,Dilini,Joy,45.20420517,19.82165829,9.828321299882433EUR,1.5632855538691586EUR
MAZDA,Megpg,Eunice,45.21949014,19.7987724,9.776292871306692EUR,1.3455814143383005EUR
CHEVROLET,Construccion,Rossi,45.28703787,19.85335211,4.052167523478899EUR,1.1262567197952467EUR
MASERATI,Vartan,Rhee,45.29804937,19.87886464,6.559482220099541EUR,1.5393415373611448EUR
ALFA ROMEO,Allison,Royden,45.29594574,19.85767417,10.405094574404158EUR,1.5237046745427651EUR
Mercedes-Benz,Osvando,Nicolaios,45.2167634,19.83964622,2.4629580725247315EUR,1.390698997245516EUR
Mercedes-Benz,Osvando,Nicolaios,45.2167634,19.83964622,2.4629580725247315EUR,1.390698997245516EUR
Mercedes-Benz,Osvando,Nicolaios,43.313554,21.902052,2.4629580725247315EUR,1.390698997245516EUR
Mercedes-Benz,Osvando,Nicolaios,43.313132,21.901843,2.4629580725247315EUR,1.390698997245516EUR
